"StateFIPS","State","ZCTA","ZIP Code Tabulation Areas","Year","Value","Data Comment",
"36","New York","3610977","New York - 3610977 - ZCTA","2024","0.8689","",
"36","New York","3610979","New York - 3610979 - ZCTA","2024","0.0093","",
"36","New York","3610980","New York - 3610980 - ZCTA","2024","0.1826","",
"36","New York","3610983","New York - 3610983 - ZCTA","2024","0.0406","",
"36","New York","3610984","New York - 3610984 - ZCTA","2024","0.0283","",
"36","New York","3610985","New York - 3610985 - ZCTA","2024","0.1300","",
"36","New York","3610986","New York - 3610986 - ZCTA","2024","0.1047","",
"36","New York","3610987","New York - 3610987 - ZCTA","2024","0.1837","",
"36","New York","3610988","New York - 3610988 - ZCTA","2024","0.1147","",
"36","New York","3610989","New York - 3610989 - ZCTA","2024","0.2607","",
"36","New York","3610990","New York - 3610990 - ZCTA","2024","0.0836","",
"36","New York","3610992","New York - 3610992 - ZCTA","2024","0.2143","",
"36","New York","3610993","New York - 3610993 - ZCTA","2024","0.9333","",
"36","New York","3610994","New York - 3610994 - ZCTA","2024","0.0757","",
"36","New York","3610996","New York - 3610996 - ZCTA","2024","0.0405","",
"36","New York","3610998","New York - 3610998 - ZCTA","2024","0.1129","",
"36","New York","3611001","New York - 3611001 - ZCTA","2024","0.1579","",
"36","New York","3611003","New York - 3611003 - ZCTA","2024","0.3586","",
"36","New York","3611004","New York - 3611004 - ZCTA","2024","0.3260","",
"36","New York","3611005","New York - 3611005 - ZCTA","2024","0.6529","",
"36","New York","3611010","New York - 3611010 - ZCTA","2024","0.1984","",
"36","New York","3611020","New York - 3611020 - ZCTA","2024","0.1684","",
"36","New York","3611021","New York - 3611021 - ZCTA","2024","0.4045","",
"36","New York","3611023","New York - 3611023 - ZCTA","2024","0.1116","",
"36","New York","3611024","New York - 3611024 - ZCTA","2024","0.1905","",
"36","New York","3611030","New York - 3611030 - ZCTA","2024","0.1803","",
"36","New York","3611040","New York - 3611040 - ZCTA","2024","0.1284","",
"36","New York","3611042","New York - 3611042 - ZCTA","2024","0.9503","",
"36","New York","3611050","New York - 3611050 - ZCTA","2024","0.3607","",
"36","New York","3611096","New York - 3611096 - ZCTA","2024","0.8754","",
"36","New York","3611101","New York - 3611101 - ZCTA","2024","0.4254","",
"36","New York","3611102","New York - 3611102 - ZCTA","2024","0.4521","",
"36","New York","3611103","New York - 3611103 - ZCTA","2024","0.4220","",
"36","New York","3611104","New York - 3611104 - ZCTA","2024","0.4623","",
"36","New York","3611105","New York - 3611105 - ZCTA","2024","0.3366","",
"36","New York","3611106","New York - 3611106 - ZCTA","2024","0.4544","",
"36","New York","3611109","New York - 3611109 - ZCTA","2024","0.2493","",
"36","New York","3611201","New York - 3611201 - ZCTA","2024","0.3407","",
"36","New York","3611203","New York - 3611203 - ZCTA","2024","0.7209","",
"36","New York","3611204","New York - 3611204 - ZCTA","2024","0.5743","",
"36","New York","3611205","New York - 3611205 - ZCTA","2024","0.7631","",
"36","New York","3611206","New York - 3611206 - ZCTA","2024","0.8423","",
"36","New York","3611207","New York - 3611207 - ZCTA","2024","0.8556","",
"36","New York","3611208","New York - 3611208 - ZCTA","2024","0.7898","",
"36","New York","3611209","New York - 3611209 - ZCTA","2024","0.4526","",
"36","New York","3611210","New York - 3611210 - ZCTA","2024","0.5776","",
"36","New York","3611211","New York - 3611211 - ZCTA","2024","0.6585","",
"36","New York","3611212","New York - 3611212 - ZCTA","2024","0.8774","",
"36","New York","3611213","New York - 3611213 - ZCTA","2024","0.8266","",
"36","New York","3611214","New York - 3611214 - ZCTA","2024","0.5869","",
"36","New York","3611215","New York - 3611215 - ZCTA","2024","0.2390","",
"36","New York","3611216","New York - 3611216 - ZCTA","2024","0.6038","",
"36","New York","3611217","New York - 3611217 - ZCTA","2024","0.3801","",
"36","New York","3611218","New York - 3611218 - ZCTA","2024","0.5064","",
"36","New York","3611219","New York - 3611219 - ZCTA","2024","0.8524","",
"36","New York","3611220","New York - 3611220 - ZCTA","2024","0.7830","",
"36","New York","3611221","New York - 3611221 - ZCTA","2024","0.6858","",
"36","New York","3611222","New York - 3611222 - ZCTA","2024","0.3470","",
"36","New York","3611223","New York - 3611223 - ZCTA","2024","0.4809","",
"36","New York","3611224","New York - 3611224 - ZCTA","2024","0.9699","",
"36","New York","3611225","New York - 3611225 - ZCTA","2024","0.5957","",
"36","New York","3611226","New York - 3611226 - ZCTA","2024","0.7501","",
"36","New York","3611228","New York - 3611228 - ZCTA","2024","0.4376","",
"36","New York","3611229","New York - 3611229 - ZCTA","2024","0.5020","",
"36","New York","3611230","New York - 3611230 - ZCTA","2024","0.5789","",
"36","New York","3611231","New York - 3611231 - ZCTA","2024","0.4425","",
"36","New York","3611232","New York - 3611232 - ZCTA","2024","0.5114","",
"36","New York","3611233","New York - 3611233 - ZCTA","2024","0.8183","",
"36","New York","3611234","New York - 3611234 - ZCTA","2024","0.3358","",
"36","New York","3611235","New York - 3611235 - ZCTA","2024","0.6146","",
"36","New York","3611236","New York - 3611236 - ZCTA","2024","0.5431","",
"36","New York","3611237","New York - 3611237 - ZCTA","2024","0.7001","",
"36","New York","3611238","New York - 3611238 - ZCTA","2024","0.3717","",
"36","New York","3611239","New York - 3611239 - ZCTA","2024","0.8528","",
"36","New York","3611354","New York - 3611354 - ZCTA","2024","0.7373","",
"36","New York","3611355","New York - 3611355 - ZCTA","2024","0.7074","",
"36","New York","3611356","New York - 3611356 - ZCTA","2024","0.4308","",
"36","New York","3611357","New York - 3611357 - ZCTA","2024","0.4101","",
"36","New York","3611358","New York - 3611358 - ZCTA","2024","0.4483","",
"36","New York","3611360","New York - 3611360 - ZCTA","2024","0.3349","",
"36","New York","3611361","New York - 3611361 - ZCTA","2024","0.2736","",
"36","New York","3611362","New York - 3611362 - ZCTA","2024","0.1879","",
"36","New York","3611363","New York - 3611363 - ZCTA","2024","0.1905","",
"36","New York","3611364","New York - 3611364 - ZCTA","2024","0.3208","",
"36","New York","3611365","New York - 3611365 - ZCTA","2024","0.4697","",
"36","New York","3611366","New York - 3611366 - ZCTA","2024","0.5523","",
"36","New York","3611367","New York - 3611367 - ZCTA","2024","0.5173","",
"36","New York","3611368","New York - 3611368 - ZCTA","2024","0.7486","",
"36","New York","3611369","New York - 3611369 - ZCTA","2024","0.7278","",
"36","New York","3611370","New York - 3611370 - ZCTA","2024","0.4120","",
"36","New York","3611372","New York - 3611372 - ZCTA","2024","0.6892","",
"36","New York","3611373","New York - 3611373 - ZCTA","2024","0.6575","",
"36","New York","3611374","New York - 3611374 - ZCTA","2024","0.4677","",
"36","New York","3611375","New York - 3611375 - ZCTA","2024","0.4063","",
"36","New York","3611377","New York - 3611377 - ZCTA","2024","0.4521","",
"36","New York","3611378","New York - 3611378 - ZCTA","2024","0.3786","",
"36","New York","3611379","New York - 3611379 - ZCTA","2024","0.3414","",
"36","New York","3611385","New York - 3611385 - ZCTA","2024","0.4236","",
"36","New York","3611411","New York - 3611411 - ZCTA","2024","0.5035","",
"36","New York","3611412","New York - 3611412 - ZCTA","2024","0.5806","",
"36","New York","3611413","New York - 3611413 - ZCTA","2024","0.5409","",
"36","New York","3611414","New York - 3611414 - ZCTA","2024","0.4097","",
"36","New York","3611415","New York - 3611415 - ZCTA","2024","0.3709","",
"36","New York","3611416","New York - 3611416 - ZCTA","2024","0.5001","",
"36","New York","3611417","New York - 3611417 - ZCTA","2024","0.4464","",
"36","New York","3611418","New York - 3611418 - ZCTA","2024","0.4865","",
"36","New York","3611419","New York - 3611419 - ZCTA","2024","0.4812","",
"36","New York","3611420","New York - 3611420 - ZCTA","2024","0.5925","",
"36","New York","3611421","New York - 3611421 - ZCTA","2024","0.3498","",
"36","New York","3611422","New York - 3611422 - ZCTA","2024","0.4770","",
"36","New York","3611423","New York - 3611423 - ZCTA","2024","0.6425","",
"36","New York","3611426","New York - 3611426 - ZCTA","2024","0.3056","",
"36","New York","3611427","New York - 3611427 - ZCTA","2024","0.5832","",
"36","New York","3611428","New York - 3611428 - ZCTA","2024","0.4112","",
"36","New York","3611429","New York - 3611429 - ZCTA","2024","0.6590","",
"36","New York","3611430","New York - 3611430 - ZCTA","2024","0.8069","",
"36","New York","3611432","New York - 3611432 - ZCTA","2024","0.6698","",
"36","New York","3611433","New York - 3611433 - ZCTA","2024","0.7626","",
"36","New York","3611434","New York - 3611434 - ZCTA","2024","0.6750","",
"36","New York","3611435","New York - 3611435 - ZCTA","2024","0.7178","",
"36","New York","3611436","New York - 3611436 - ZCTA","2024","0.6110","",
"36","New York","3611501","New York - 3611501 - ZCTA","2024","0.2838","",
"36","New York","3611507","New York - 3611507 - ZCTA","2024","0.0400","",
"36","New York","3611509","New York - 3611509 - ZCTA","2024","0.0623","",
"36","New York","3611510","New York - 3611510 - ZCTA","2024","0.2446","",
"36","New York","3611514","New York - 3611514 - ZCTA","2024","0.3217","",
"36","New York","3611516","New York - 3611516 - ZCTA","2024","0.2410","",
"36","New York","3611518","New York - 3611518 - ZCTA","2024","0.2035","",
"36","New York","3611520","New York - 3611520 - ZCTA","2024","0.4389","",
"36","New York","3611530","New York - 3611530 - ZCTA","2024","0.1888","",
"36","New York","3611542","New York - 3611542 - ZCTA","2024","0.4561","",
"36","New York","3611545","New York - 3611545 - ZCTA","2024","0.1438","",
"36","New York","3611547","New York - 3611547 - ZCTA","2024","0.1882","",
"36","New York","3611548","New York - 3611548 - ZCTA","2024","0.3801","",
"36","New York","3611549","New York - 3611549 - ZCTA","2024","0.3949","",
"36","New York","3611550","New York - 3611550 - ZCTA","2024","0.8518","",
"36","New York","3611552","New York - 3611552 - ZCTA","2024","0.1132","",
"36","New York","3611553","New York - 3611553 - ZCTA","2024","0.7808","",
"36","New York","3611554","New York - 3611554 - ZCTA","2024","0.3355","",
"36","New York","3611557","New York - 3611557 - ZCTA","2024","0.0900","",
"36","New York","3611558","New York - 3611558 - ZCTA","2024","0.5674","",
"36","New York","3611559","New York - 3611559 - ZCTA","2024","0.2461","",
"36","New York","3611560","New York - 3611560 - ZCTA","2024","0.0205","",
"36","New York","3611561","New York - 3611561 - ZCTA","2024","0.5920","",
"36","New York","3611563","New York - 3611563 - ZCTA","2024","0.4487","",
"36","New York","3611565","New York - 3611565 - ZCTA","2024","0.1611","",
"36","New York","3611566","New York - 3611566 - ZCTA","2024","0.0545","",
"36","New York","3611568","New York - 3611568 - ZCTA","2024","0.0930","",
"36","New York","3611569","New York - 3611569 - ZCTA","2024","0.4408","",
"36","New York","3611570","New York - 3611570 - ZCTA","2024","0.2565","",
"36","New York","3611572","New York - 3611572 - ZCTA","2024","0.1979","",
"36","New York","3611575","New York - 3611575 - ZCTA","2024","0.6942","",
"36","New York","3611576","New York - 3611576 - ZCTA","2024","0.1259","",
"36","New York","3611577","New York - 3611577 - ZCTA","2024","0.0800","",
"36","New York","3611579","New York - 3611579 - ZCTA","2024","0.0828","",
"36","New York","3611580","New York - 3611580 - ZCTA","2024","0.2177","",
"36","New York","3611581","New York - 3611581 - ZCTA","2024","0.1824","",
"36","New York","3611590","New York - 3611590 - ZCTA","2024","0.3381","",
"36","New York","3611596","New York - 3611596 - ZCTA","2024","0.1902","",
"36","New York","3611598","New York - 3611598 - ZCTA","2024","0.0765","",
"36","New York","3611691","New York - 3611691 - ZCTA","2024","0.8405","",
"36","New York","3611692","New York - 3611692 - ZCTA","2024","0.8637","",
"36","New York","3611693","New York - 3611693 - ZCTA","2024","0.7018","",
"36","New York","3611694","New York - 3611694 - ZCTA","2024","0.5212","",
"36","New York","3611697","New York - 3611697 - ZCTA","2024","0.4648","",
"36","New York","3611701","New York - 3611701 - ZCTA","2024","0.5664","",
"36","New York","3611702","New York - 3611702 - ZCTA","2024","0.1888","",
"36","New York","3611703","New York - 3611703 - ZCTA","2024","0.2127","",
"36","New York","3611704","New York - 3611704 - ZCTA","2024","0.3719","",
"36","New York","3611705","New York - 3611705 - ZCTA","2024","0.2592","",
"36","New York","3611706","New York - 3611706 - ZCTA","2024","0.4876","",
"36","New York","3611709","New York - 3611709 - ZCTA","2024","0.1998","",
"36","New York","3611710","New York - 3611710 - ZCTA","2024","0.1153","",
"36","New York","3611713","New York - 3611713 - ZCTA","2024","0.5567","",
"36","New York","3611714","New York - 3611714 - ZCTA","2024","0.2099","",
"36","New York","3611715","New York - 3611715 - ZCTA","2024","0.0796","",
"36","New York","3611716","New York - 3611716 - ZCTA","2024","0.2468","",
"36","New York","3611717","New York - 3611717 - ZCTA","2024","0.4822","",
"36","New York","3611718","New York - 3611718 - ZCTA","2024","0.0189","",
"36","New York","3611719","New York - 3611719 - ZCTA","2024","0.7662","",
"36","New York","3611720","New York - 3611720 - ZCTA","2024","0.1638","",
"36","New York","3611721","New York - 3611721 - ZCTA","2024","0.0680","",
"36","New York","3611722","New York - 3611722 - ZCTA","2024","0.5327","",
"36","New York","3611724","New York - 3611724 - ZCTA","2024","0.0305","",
"36","New York","3611725","New York - 3611725 - ZCTA","2024","0.1336","",
"36","New York","3611726","New York - 3611726 - ZCTA","2024","0.5606","",
"36","New York","3611727","New York - 3611727 - ZCTA","2024","0.3008","",
"36","New York","3611729","New York - 3611729 - ZCTA","2024","0.2946","",
