date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2024-07-28 04:00:00+00:00,75.6755,88.2905,64.2605,76.46324,89.07617,65.07709
2024-07-29 04:00:00+00:00,76.65049,84.7805,70.4705,81.076324,88.99626,76.44377
2024-07-30 04:00:00+00:00,78.986755,89.3705,70.1105,82.61544,92.068115,76.47131
2024-07-31 04:00:00+00:00,78.488,89.2805,73.4405,83.74697,93.8806,78.24774
2024-08-01 04:00:00+00:00,81.38299,94.4105,68.5805,87.5906,100.44492,73.77973
2024-08-02 04:00:00+00:00,80.69299,91.0805,74.2505,88.049965,97.63059,81.03641
2024-08-03 04:00:00+00:00,80.04425,91.170494,73.9805,87.48254,98.53563,80.69695
2024-08-04 04:00:00+00:00,75.79925,82.530495,73.2605,81.859245,88.25029,79.340256
2024-08-05 04:00:00+00:00,79.62425,89.1905,68.3105,84.43726,95.96187,71.759995
2024-08-06 04:00:00+00:00,78.13925,90.27049,71.3705,84.50647,99.61101,75.31081
2024-08-07 04:00:00+00:00,69.68299,72.4505,65.1605,71.39358,77.82757,66.22604
2024-08-08 04:00:00+00:00,68.843,73.8005,64.3505,70.306015,75.29972,65.82724
2024-08-09 04:00:00+00:00,76.28675,82.9805,71.3705,79.235146,83.2581,74.34561
2024-08-10 04:00:00+00:00,77.15301,84.7805,70.8305,80.68398,87.198875,74.40284
2024-08-11 04:00:00+00:00,73.27549,81.1805,65.9705,73.861984,83.2643,66.82659
2024-08-12 04:00:00+00:00,71.03675,79.1105,61.2005,70.73573,76.75556,62.487267
2024-08-13 04:00:00+00:00,70.538,80.3705,61.290497,70.59048,79.71915,60.084503
2024-08-14 04:00:00+00:00,73.00549,82.9805,63.360497,74.09864,82.68834,64.782455
2024-08-15 04:00:00+00:00,74.843,86.220505,62.640495,77.00703,88.0027,65.02979
2024-08-16 04:00:00+00:00,75.056755,86.4005,64.8005,78.72223,92.035995,67.320595
2024-08-17 04:00:00+00:00,73.73675,79.2905,69.1205,77.13261,81.484024,74.41793
2024-08-18 04:00:00+00:00,72.7655,77.9405,69.6605,76.239655,79.72365,73.225235
2024-08-19 04:00:00+00:00,72.85175,82.890495,68.2205,77.57593,89.73788,67.83885
2024-08-20 04:00:00+00:00,65.98925,72.1805,61.380497,62.460155,68.75097,57.78997
2024-08-21 04:00:00+00:00,63.904247,72.5405,54.9905,60.4879,68.259796,52.272484
2024-08-22 04:00:00+00:00,65.7005,75.960495,54.2705,63.594746,72.38458,52.524952
2024-08-23 04:00:00+00:00,68.734245,81.0905,55.7105,68.75673,80.43976,55.666046
2024-08-24 04:00:00+00:00,71.318,85.5005,58.320503,72.28583,87.20559,58.788506
2024-08-25 04:00:00+00:00,73.058,85.9505,61.110497,74.16778,88.64187,62.304882
2024-08-26 04:00:00+00:00,73.5005,85.5005,64.3505,76.383995,90.42964,65.96207
